File	Distinct Operators	Distinct Operands	Total Operators	Total Operands	Vocabulary	Length	Estimated Length	LoC	Volume	Difficulty	Effort
01.imperative.js	24	29	73	83	53	156	250.92054887600733	57	893.555590911859	34.3448275862069	30689.012708559017
02.imperative-w-functions.js	28	30	93	101	58	194	281.81265568586844	64	1136.448313054749	47.13333333333333	53564.59715531383
03.oo-one-class.js	33	29	115	112	62	227	307.3464547975285	73	1351.6025624578206	63.724137931034484	86129.70811800181
04.oo-small-classes.js	34	37	142	143	71	285	365.7235111307827	98	1752.6779290588345	65.70270270270271	115155.67690654127
05.fp-softcore.js	22	29	76	76	51	152	238.9889444687201	56	862.2086519796673	28.82758620689655	24855.394243275925
06.fp-pure-functions.js	27	29	94	90	56	184	269.2634114171132	58	1068.5533056585991	41.89655172413793	44768.69884052406
07.fp-pure-but-slow.js	30	36	114	110	66	224	333.3240179201788	108	1353.9442827362936	45.83333333333333	62055.77962541345
08.fp-pure-w-mori.js	36	41	146	163	77	309	405.77693224126466	137	1936.4370410747244	71.5609756097561	138573.32386617662
09.fp-currying.js	41	39	164	174	80	338	425.7903187249691	121	2136.8116960719285	91.46153846153847	195436.08512534795
10.fp-composition-and-pointfree.js	33	48	150	177	81	327	434.5432059734445	109	2073.130950943272	60.84375	126137.06129645472
11.fp-final.js	33	42	151	170	75	321	392.94233769553693	89	1999.4507996491777	66.78571428571428	133534.74983371294
